Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Visit Shop With Chiller And Overwrite Scenario,,,2018-06-26 13:01:39,2018-06-26 13:05:53,4m - 14.446s,ERROR
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-06-26 13:01:39,2018-06-26 13:02:06,26.160s,PASSED
startApplication,,,2018-06-26 13:01:40,2018-06-26 13:02:00,20.507s,PASSED
delay,,,2018-06-26 13:02:00,2018-06-26 13:02:06,5.110s,PASSED
,,,,,,
Test Cases/Attendance/MarkSupervisorAttendance,,,2018-06-26 13:02:06,2018-06-26 13:02:32,26.171s,PASSED
verifyElementText,,,2018-06-26 13:02:06,2018-06-26 13:02:07,0.982s,PASSED
tap,,,2018-06-26 13:02:07,2018-06-26 13:02:08,1.215s,PASSED
verifyElementText,,,2018-06-26 13:02:08,2018-06-26 13:02:11,2.556s,PASSED
tap,,,2018-06-26 13:02:11,2018-06-26 13:02:11,0.390s,PASSED
tap,,,2018-06-26 13:02:11,2018-06-26 13:02:13,1.595s,PASSED
customkeywords.CustomKeywordsCollection.checkSupervisorSelfie,,,2018-06-26 13:02:13,2018-06-26 13:02:30,16.749s,PASSED
verifyElementExist,,,2018-06-26 13:02:30,2018-06-26 13:02:31,1.155s,PASSED
tap,,,2018-06-26 13:02:31,2018-06-26 13:02:32,0.982s,PASSED
,,,,,,
Test Cases/Attendance/MarkMerchandisersAttendance,,,2018-06-26 13:02:32,2018-06-26 13:03:47,1m - 15.187s,PASSED
verifyElementText,,,2018-06-26 13:02:32,2018-06-26 13:02:33,0.620s,PASSED
tap,,,2018-06-26 13:02:33,2018-06-26 13:02:34,1.103s,PASSED
customkeywords.CustomKeywordsCollection.markMerchandisersAttendance,,,2018-06-26 13:02:34,2018-06-26 13:02:34,0.127s,PASSED
waitForElementPresent,,,2018-06-26 13:02:34,2018-06-26 13:03:34,1m - 0.001s,PASSED
verifyElementText,,,2018-06-26 13:03:34,2018-06-26 13:03:35,0.737s,PASSED
customkeywords.CustomKeywordsCollection.selectMerchandiser,,,2018-06-26 13:03:35,2018-06-26 13:03:47,11.921s,PASSED
,,,,,,
Test Cases/WW/VisitWW,,,2018-06-26 13:03:47,2018-06-26 13:03:50,3.149s,PASSED
verifyElementText,,,2018-06-26 13:03:47,2018-06-26 13:03:48,0.673s,PASSED
tap,,,2018-06-26 13:03:48,2018-06-26 13:03:48,0.393s,PASSED
waitForElementPresent,,,2018-06-26 13:03:48,2018-06-26 13:03:50,1.550s,PASSED
verifyElementText,,,2018-06-26 13:03:50,2018-06-26 13:03:50,0.179s,PASSED
customkeywords.CustomKeywordsCollection.selectRoute,,,2018-06-26 13:03:50,2018-06-26 13:03:50,0.002s,NOT_RUN
,,,,,,
Test Cases/WW/ShopWithChiller/ChooseShopForShopOpen,,,2018-06-26 13:03:50,2018-06-26 13:04:20,30.157s,PASSED
swipe,,,2018-06-26 13:03:50,2018-06-26 13:03:51,0.848s,PASSED
swipe,,,2018-06-26 13:03:51,2018-06-26 13:03:52,0.784s,PASSED
verifyElementText,,,2018-06-26 13:03:52,2018-06-26 13:03:55,2.863s,PASSED
customkeywords.CustomKeywordsCollection.selectShopWithChiller,,,2018-06-26 13:03:55,2018-06-26 13:03:59,4.399s,PASSED
verifyElementText,,,2018-06-26 13:03:59,2018-06-26 13:04:01,1.605s,PASSED
tap,,,2018-06-26 13:04:01,2018-06-26 13:04:01,0.408s,PASSED
verifyElementExist,,,2018-06-26 13:04:01,2018-06-26 13:04:01,0.002s,NOT_RUN
tap,,,2018-06-26 13:04:01,2018-06-26 13:04:01,0.003s,NOT_RUN
waitForElementPresent,,,2018-06-26 13:04:01,2018-06-26 13:04:17,15.822s,PASSED
tap,,,2018-06-26 13:04:17,2018-06-26 13:04:18,0.590s,PASSED
verifyElementExist,,,2018-06-26 13:04:18,2018-06-26 13:04:19,1.082s,PASSED
tap,,,2018-06-26 13:04:19,2018-06-26 13:04:20,0.680s,PASSED
verifyElementExist,,,2018-06-26 13:04:20,2018-06-26 13:04:20,0.677s,PASSED
,,,,,,
Test Cases/WW/ShopOpen/VisitShopOpen,,,2018-06-26 13:04:20,2018-06-26 13:04:30,9.939s,PASSED
tap,,,2018-06-26 13:04:21,2018-06-26 13:04:22,1.543s,PASSED
verifyElementExist,,,2018-06-26 13:04:22,2018-06-26 13:04:23,1.182s,PASSED
tap,,,2018-06-26 13:04:23,2018-06-26 13:04:24,1.107s,PASSED
delay,,,2018-06-26 13:04:24,2018-06-26 13:04:29,5.003s,PASSED
tap,,,2018-06-26 13:04:29,2018-06-26 13:04:30,0.727s,PASSED
,,,,,,
Test Cases/WW/ShopOpen/VisitShopProducts,,,2018-06-26 13:04:30,2018-06-26 13:05:53,1m - 22.961s,ERROR
verifyElementText,,,2018-06-26 13:04:31,2018-06-26 13:04:32,1.108s,PASSED
customkeywords.CustomKeywordsCollection.visitShopProducts,,,2018-06-26 13:04:32,2018-06-26 13:05:53,1m - 21.122s,ERROR
